Bikesharing-Dataset with 16 columns and 309 records;;;;;;;;;;;;;;;;;;;;;;;;;;;;
id;season;holiday;weekday;workingday;weathersit;temp;atemp;hum;windspeed;casual;registered;cnt;day;month;year;;;;;;;;;;;;;
0;spring;no;Sat;no;cloudy;0.344167;0.363625;0.805833;0.160446;331;654;985;1;1;2011;;;;;;;;;;;;;
1;spring;no;Sun;no;cloudy;0.363478;0.353739;;0.248539;131;670;801;2;1;2011;;;;;;;;;;;;;
2;spring;no;Mon;no;clear sky;0.196364;0.189405;0.437273;0.248309;120;1229;1349;3;1;2011;;;;;;;;;;;;;
3;spring;no;Tue;no;clear sky;0.2;0.212122;0.590435;0.160296;108;1454;1562;4;1;2011;;;;;;;;;;;;;
4;spring;no;Wed;no;clear sky;;0.22927;0.436957;0.1869;82;1518;1600;5;1;2011;;;;;;;;;;;;;
5;spring;no;Thu;no;clear sky;0.204348;0.233209;0.518261;0.0895652;88;1518;1606;6;1;2011;;;;;;;;;;;;;
6;spring;no;Fri;no;cloudy;0.196522;0.208839;0.498696;0.168726;148;1362;1510;7;1;2011;;;;;;;;;;;;;
7;spring;no;Sat;no;cloudy;0.165;0.162254;0.535833;;68;891;959;8;1;2011;;;;;;;;;;;;;
8;spring;no;Sun;no;clear sky;0.138333;0.116175;0.434167;0.36195;54;768;822;9;1;2011;;;;;;;;;;;;;
9;spring;no;Mon;no;clear sky;0.150833;0.150888;0.482917;0.223267;41;1280;1321;10;1;2011;;;;;;;;;;;;;
10;spring;no;Tue;no;cloudy;0.169091;0.191464;0.686364;0.122132;43;1220;1263;11;1;2011;;;;;;;;;;;;;
11;spring;no;Wed;no;clear sky;0.172727;0.160473;0.599545;0.304627;25;1137;1162;12;1;2011;;;;;;;;;;;;;
12;spring;no;Thu;no;clear sky;0.165;0.150883;0.470417;0.301;38;1368;1406;13;1;2011;;;;;;;;;;;;;
13;spring;no;Fri;no;clear sky;0.16087;0.188413;0.537826;0.126548;54;1367;1421;14;1;2011;;;;;;;;;;;;;
14;spring;no;Sat;no;cloudy;0.233333;0.248112;0.49875;0.157963;222;1026;;15;1;2011;;;;;;;;;;;;;
15;spring;no;Sun;no;clear sky;0.231667;0.234217;0.48375;0.188433;251;953;1204;16;1;2011;;;;;;;;;;;;;
16;spring;yes;Mon;no;cloudy;0.175833;0.176771;0.5375;0.194017;117;883;1000;17;1;2011;;;;;;;;;;;;;
17;spring;no;Tue;no;cloudy;0.216667;0.232333;0.861667;0.146775;9;674;683;18;1;2011;;;;;;;;;;;;;
18;spring;no;Wed;no;cloudy;0.292174;0.298422;0.741739;0.208317;78;1572;1650;19;1;2011;;;;;;;;;;;;;
19;spring;no;Thu;no;cloudy;0.261667;0.25505;0.538333;0.195904;83;1844;1927;20;1;2011;;;;;;;;;;;;;
20;spring;no;Fri;no;clear sky;0.1775;0.157833;0.457083;0.353242;75;1468;1543;21;1;2011;;;;;;;;;;;;;
21;spring;no;Sat;no;clear sky;0.0591304;0.0790696;0.4;0.17197;93;888;981;22;1;2011;;;;;;;;;;;;;
22;spring;no;Sun;no;clear sky;0.0965217;0.0988391;;0.2466;150;836;986;23;1;2011;;;;;;;;;;;;;
23;spring;no;Mon;no;clear sky;0.0973913;0.11793;0.491739;0.15833;86;1330;1416;24;1;2011;;;;;;;;;;;;;
24;spring;no;Tue;no;cloudy;0.223478;0.234526;0.616957;0.129796;186;1799;1985;25;1;2011;;;;;;;;;;;;;
25;spring;no;Wed;no;light rain;0.2175;0.2036;0.8625;0.29385;34;472;506;26;1;2011;;;;;;;;;;;;;
26;spring;no;Thu;no;clear sky;0.195;0.2197;0.6875;;15;416;431;27;1;2011;;;;;;;;;;;;;
27;spring;no;Fri;no;cloudy;0.203478;0.223317;0.793043;0.1233;38;1129;1167;28;1;2011;;;;;;;;;;;;;
28;spring;no;Sat;no;clear sky;0.196522;0.212126;0.651739;0.145365;123;975;1098;29;1;2011;;;;;;;;;;;;;
29;spring;no;Sun;no;clear sky;0.216522;0.250322;0.722174;0.0739826;140;956;1096;30;1;2011;;;;;;;;;;;;;
30;spring;no;Mon;no;cloudy;0.180833;0.18625;0.60375;0.187192;42;1459;1501;31;1;2011;;;;;;;;;;;;;
31;spring;no;Tue;no;cloudy;0.192174;0.23453;0.829565;0.053213;47;1313;1360;1;2;2011;;;;;;;;;;;;;
32;spring;no;Wed;no;cloudy;0.26;0.254417;0.775417;0.264308;72;1454;1526;2;2;2011;;;;;;;;;;;;;
33;spring;no;Thu;no;clear sky;0.186957;0.177878;0.437826;0.277752;61;1489;1550;3;2;2011;;;;;;;;;;;;;
34;spring;no;Fri;no;cloudy;0.211304;0.228587;0.585217;0.127839;88;1620;1708;4;2;2011;;;;;;;;;;;;;
35;spring;no;Sat;no;cloudy;0.233333;0.243058;0.929167;0.161079;100;905;1005;5;2;2011;;;;;;;;;;;;;
36;spring;no;Sun;no;clear sky;0.285833;0.291671;0.568333;0.1418;354;1269;1623;6;2;2011;;;;;;;;;;;;;
37;spring;no;Mon;no;clear sky;0.271667;0.303658;0.738333;0.0454083;120;1592;1712;7;2;2011;;;;;;;;;;;;;
38;spring;no;Tue;no;clear sky;0.220833;0.198246;0.537917;0.36195;64;1466;1530;8;2;2011;;;;;;;;;;;;;
39;spring;no;Wed;no;cloudy;0.134783;0.144283;0.494783;0.188839;53;1552;1605;9;2;2011;;;;;;;;;;;;;
40;spring;no;Thu;no;clear sky;0.144348;0.149548;0.437391;0.221935;47;1491;1538;10;2;2011;;;;;;;;;;;;;
41;spring;no;Fri;no;clear sky;0.189091;0.213509;0.506364;0.10855;149;1597;1746;11;2;2011;;;;;;;;;;;;;
42;spring;no;Sat;no;clear sky;0.2225;0.232954;0.544167;0.203367;288;1184;1472;12;2;2011;;;;;;;;;;;;;
43;spring;no;Sun;no;clear sky;0.316522;0.324113;0.457391;0.260883;397;1192;1589;13;2;2011;;;;;;;;;;;;;
44;spring;no;Mon;no;clear sky;0.415;0.39835;0.375833;0.417908;208;1705;1913;14;2;2011;;;;;;;;;;;;;
45;spring;no;Tue;no;clear sky;0.266087;0.254274;0.314348;0.291374;140;1675;1815;15;2;2011;;;;;;;;;;;;;
46;spring;no;Wed;no;clear sky;0.318261;0.3162;0.423478;0.251791;218;1897;2115;16;2;2011;;;;;;;;;;;;;
47;spring;no;Thu;no;clear sky;0.435833;0.428658;0.505;0.230104;259;2216;2475;17;2;2011;;;;;;;;;;;;;
48;spring;no;Fri;no;clear sky;0.521667;0.511983;0.516667;0.264925;579;2348;2927;18;2;2011;;;;;;;;;;;;;
49;spring;no;Sat;no;clear sky;0.399167;;0.187917;0.507463;532;1103;1635;19;2;2011;;;;;;;;;;;;;
50;spring;no;Sun;no;clear sky;0.285217;0.27733;0.407826;0.223235;639;1173;1812;20;2;2011;;;;;;;;;;;;;
51;spring;yes;Mon;no;cloudy;0.303333;0.284075;0.605;0.307846;195;912;1107;21;2;2011;;;;;;;;;;;;;
52;spring;no;Tue;no;clear sky;0.182222;0.186033;0.577778;0.195683;74;1376;1450;22;2;2011;;;;;;;;;;;;;
53;spring;no;Wed;no;clear sky;0.221739;0.245717;0.423043;0.094113;139;1778;1917;23;2;2011;;;;;;;;;;;;;
54;spring;no;Thu;no;cloudy;0.295652;0.289191;0.697391;0.250496;100;1707;1807;24;2;2011;;;;;;;;;;;;;
55;spring;no;Fri;no;cloudy;0.364348;0.350461;0.712174;0.346539;120;1341;1461;25;2;2011;;;;;;;;;;;;;
56;spring;no;Sat;no;clear sky;0.2825;0.282192;0.537917;0.186571;424;1545;1969;26;2;2011;;;;;;;;;;;;;
57;spring;no;Sun;no;clear sky;0.343478;0.351109;0.68;0.125248;694;1708;2402;27;2;2011;;;;;;;;;;;;;
58;spring;no;Mon;no;cloudy;0.407273;0.400118;0.876364;0.289686;81;1365;1446;28;2;2011;;;;;;;;;;;;;
59;spring;no;Tue;no;clear sky;0.266667;0.263879;0.535;0.216425;137;1714;1851;1;3;2011;;;;;;;;;;;;;
60;spring;no;Wed;no;clear sky;0.335;0.320071;0.449583;0.307833;231;1903;2134;2;3;2011;;;;;;;;;;;;;
61;spring;no;Thu;no;clear sky;0.198333;0.200133;0.318333;0.225754;123;1562;1685;3;3;2011;;;;;;;;;;;;;
62;spring;no;Fri;no;cloudy;0.261667;0.255679;0.610417;0.203346;214;1730;1944;4;3;2011;;;;;;;;;;;;;
63;spring;no;Sat;no;cloudy;0.384167;0.378779;0.789167;0.251871;640;1437;2077;5;3;2011;;;;;;;;;;;;;
64;spring;no;Sun;no;cloudy;0.376522;0.366252;;0.343287;114;491;605;6;3;2011;;;;;;;;;;;;;
65;spring;no;Mon;no;clear sky;0.261739;0.238461;0.551304;0.341352;244;1628;1872;7;3;2011;;;;;;;;;;;;;
66;spring;no;Tue;no;clear sky;0.2925;0.3024;0.420833;0.12065;316;1817;2133;8;3;2011;;;;;;;;;;;;;
67;spring;no;Wed;no;cloudy;0.295833;0.286608;0.775417;0.22015;191;1700;1891;9;3;2011;;;;;;;;;;;;;
68;spring;no;Thu;no;light rain;0.389091;0.385668;0.0;0.261877;46;577;623;10;3;2011;;;;;;;;;;;;;
69;spring;no;Fri;no;cloudy;0.316522;0.305;0.649565;0.23297;247;1730;1977;11;3;2011;;;;;;;;;;;;;
70;spring;no;Sat;no;clear sky;0.329167;0.32575;0.594583;0.220775;724;1408;2132;12;3;2011;;;;;;;;;;;;;
71;spring;no;Sun;no;clear sky;0.384348;0.380091;0.527391;0.270604;982;1435;2417;13;3;2011;;;;;;;;;;;;;
72;spring;no;Mon;no;clear sky;0.325217;0.332;0.496957;0.136926;359;1687;2046;14;3;2011;;;;;;;;;;;;;
73;spring;no;Tue;no;cloudy;0.317391;0.318178;0.655652;0.184309;289;1767;2056;15;3;2011;;;;;;;;;;;;;
74;spring;no;Wed;no;cloudy;0.365217;0.36693;0.776522;0.203117;321;1871;2192;16;3;2011;;;;;;;;;;;;;
75;spring;no;Thu;no;clear sky;0.415;0.410333;0.602917;0.209579;424;2320;2744;17;3;2011;;;;;;;;;;;;;
76;spring;no;Fri;no;clear sky;0.54;0.527009;0.525217;0.231017;884;2355;3239;18;3;2011;;;;;;;;;;;;;
77;spring;no;Sat;no;clear sky;0.4725;0.466525;0.379167;0.368167;1424;1693;3117;19;3;2011;;;;;;;;;;;;;
78;spring;no;Sun;no;clear sky;0.3325;0.32575;0.47375;0.207721;1047;1424;2471;20;3;2011;;;;;;;;;;;;;
79;summer;no;Mon;no;cloudy;0.430435;0.409735;0.737391;0.288783;401;1676;2077;21;3;2011;;;;;;;;;;;;;
80;summer;no;Tue;no;clear sky;0.441667;0.440642;0.624583;0.22575;460;2243;2703;22;3;2011;;;;;;;;;;;;;
81;summer;no;Wed;no;cloudy;0.346957;0.337939;0.839565;0.234261;203;1918;2121;23;3;2011;;;;;;;;;;;;;
82;summer;no;Thu;no;cloudy;0.285;0.270833;0.805833;0.243787;166;1699;1865;24;3;2011;;;;;;;;;;;;;
83;summer;no;Fri;no;clear sky;0.264167;0.256312;0.495;0.230725;300;1910;2210;25;3;2011;;;;;;;;;;;;;
84;summer;no;Sat;no;clear sky;0.265833;0.257571;0.394167;;981;1515;2496;26;3;2011;;;;;;;;;;;;;
85;summer;no;Sun;no;cloudy;0.253043;0.250339;0.493913;0.1843;472;1221;1693;27;3;2011;;;;;;;;;;;;;
86;summer;no;Mon;no;clear sky;0.264348;0.257574;0.302174;0.212204;222;1806;2028;28;3;2011;;;;;;;;;;;;;
87;summer;no;Tue;no;clear sky;0.3025;0.292908;0.314167;0.226996;317;2108;2425;29;3;2011;;;;;;;;;;;;;
88;summer;no;Wed;no;cloudy;0.3;0.29735;0.646667;0.172888;168;1368;1536;30;3;2011;;;;;;;;;;;;;
89;summer;no;Thu;no;light rain;0.268333;0.257575;0.918333;0.217646;179;1506;1685;31;3;2011;;;;;;;;;;;;;
90;summer;no;Fri;no;cloudy;0.3;0.283454;0.68625;0.258708;307;1920;2227;1;4;2011;;;;;;;;;;;;;
91;summer;no;Sat;no;cloudy;0.315;0.315637;0.65375;0.197146;898;1354;2252;2;4;2011;;;;;;;;;;;;;
92;summer;no;Sun;no;clear sky;0.378333;0.378767;0.48;0.182213;1651;1598;3249;3;4;2011;;;;;;;;;;;;;
93;summer;no;Mon;no;clear sky;0.573333;0.542929;0.42625;0.385571;734;2381;3115;4;4;2011;;;;;;;;;;;;;
94;summer;no;Tue;no;cloudy;0.414167;0.39835;0.642083;0.388067;167;1628;1795;5;4;2011;;;;;;;;;;;;;
95;summer;no;Wed;no;clear sky;0.390833;0.387608;0.470833;0.263063;413;2395;2808;6;4;2011;;;;;;;;;;;;;
96;summer;no;Thu;no;clear sky;0.4375;0.433696;0.602917;0.162312;571;2570;3141;7;4;2011;;;;;;;;;;;;;
97;summer;no;Fri;no;cloudy;0.335833;0.324479;0.83625;0.226992;172;1299;1471;8;4;2011;;;;;;;;;;;;;
98;summer;no;Sat;no;cloudy;0.3425;0.341529;0.8775;0.133083;879;1576;2455;9;4;2011;;;;;;;;;;;;;
99;summer;no;Sun;no;cloudy;0.426667;0.426737;0.8575;0.146767;1188;1707;2895;10;4;2011;;;;;;;;;;;;;
100;summer;no;Mon;no;cloudy;0.595652;0.565217;0.716956;0.324474;855;2493;3348;11;4;2011;;;;;;;;;;;;;
101;summer;no;Tue;no;cloudy;0.5025;0.493054;0.739167;0.274879;257;1777;2034;12;4;2011;;;;;;;;;;;;;
102;summer;no;Wed;no;cloudy;0.4125;0.417283;0.819167;0.250617;209;1953;2162;13;4;2011;;;;;;;;;;;;;
103;summer;no;Thu;no;clear sky;0.4675;0.462742;0.540417;0.1107;529;2738;3267;14;4;2011;;;;;;;;;;;;;
104;summer;yes;Fri;no;clear sky;0.446667;0.441913;;0.226375;642;2484;3126;15;4;2011;;;;;;;;;;;;;
105;summer;no;Sat;no;light rain;0.430833;0.425492;0.888333;0.340808;121;674;795;16;4;2011;;;;;;;;;;;;;
106;summer;no;Sun;no;clear sky;0.456667;0.445696;0.479583;0.303496;1558;2186;3744;17;4;2011;;;;;;;;;;;;;
107;summer;no;Mon;no;clear sky;0.5125;0.503146;0.5425;0.163567;669;2760;3429;18;4;2011;;;;;;;;;;;;;
108;summer;no;Tue;no;cloudy;0.505833;0.489258;0.665833;0.157971;409;2795;3204;19;4;2011;;;;;;;;;;;;;
109;summer;no;Wed;no;clear sky;0.595;0.564392;0.614167;0.241925;613;3331;3944;20;4;2011;;;;;;;;;;;;;
110;summer;no;Thu;no;clear sky;0.459167;0.453892;0.407083;0.325258;745;3444;4189;21;4;2011;;;;;;;;;;;;;
111;summer;no;Fri;no;cloudy;0.336667;0.321954;0.729583;0.219521;177;1506;1683;22;4;2011;;;;;;;;;;;;;
112;summer;no;Sat;no;cloudy;0.46;0.450121;0.887917;0.230725;1462;2574;4036;23;4;2011;;;;;;;;;;;;;
113;summer;no;Sun;no;cloudy;0.581667;0.551763;0.810833;0.192175;1710;2481;4191;24;4;2011;;;;;;;;;;;;;
114;summer;no;Mon;no;clear sky;0.606667;0.5745;0.776667;0.185333;773;3300;4073;25;4;2011;;;;;;;;;;;;;
115;summer;no;Tue;no;clear sky;0.631667;0.594083;0.729167;0.3265;678;3722;4400;26;4;2011;;;;;;;;;;;;;
116;summer;no;Wed;no;cloudy;0.62;0.575142;0.835417;0.3122;547;3325;3872;27;4;2011;;;;;;;;;;;;;
117;summer;no;Thu;no;cloudy;0.6175;0.578929;0.700833;0.320908;569;3489;4058;28;4;2011;;;;;;;;;;;;;
118;summer;no;Fri;no;clear sky;0.51;0.497463;0.457083;0.240063;878;3717;4595;29;4;2011;;;;;;;;;;;;;
119;summer;no;Sat;no;clear sky;0.4725;0.464021;0.503333;0.235075;1965;3347;5312;30;4;2011;;;;;;;;;;;;;
120;summer;no;Sun;no;cloudy;0.451667;0.448204;0.762083;0.106354;1138;2213;3351;1;5;2011;;;;;;;;;;;;;
121;summer;no;Mon;no;cloudy;0.549167;0.532833;0.73;0.183454;847;3554;4401;2;5;2011;;;;;;;;;;;;;
122;summer;no;Tue;no;cloudy;0.616667;0.582079;0.697083;0.342667;603;3848;4451;3;5;2011;;;;;;;;;;;;;
123;summer;no;Wed;no;cloudy;0.414167;0.40465;0.737083;0.328996;255;2378;2633;4;5;2011;;;;;;;;;;;;;
124;summer;no;Thu;no;clear sky;0.459167;0.441917;0.444167;0.295392;614;3819;4433;5;5;2011;;;;;;;;;;;;;
125;summer;no;Fri;no;clear sky;0.479167;0.474117;0.59;0.228246;894;3714;4608;6;5;2011;;;;;;;;;;;;;
126;summer;no;Sat;no;clear sky;0.52;0.512621;0.54125;0.16045;1612;3102;4714;7;5;2011;;;;;;;;;;;;;
127;summer;no;Sun;no;clear sky;0.528333;0.518933;0.631667;0.0746375;1401;2932;4333;8;5;2011;;;;;;;;;;;;;
128;summer;no;Mon;no;clear sky;0.5325;0.525246;0.58875;0.176;664;3698;4362;9;5;2011;;;;;;;;;;;;;
129;summer;no;Tue;no;clear sky;0.5325;0.522721;0.489167;0.115671;694;4109;4803;10;5;2011;;;;;;;;;;;;;
130;summer;no;Wed;no;clear sky;0.5425;0.5284;0.632917;0.120642;550;3632;4182;11;5;2011;;;;;;;;;;;;;
131;summer;no;Thu;no;clear sky;0.535;0.523363;0.7475;0.189667;695;4169;4864;12;5;2011;;;;;;;;;;;;;
132;summer;no;Fri;no;cloudy;0.5125;0.4943;0.863333;0.179725;692;3413;4105;13;5;2011;;;;;;;;;;;;;
133;summer;no;Sat;no;cloudy;0.520833;0.500629;0.9225;0.13495;902;2507;3409;14;5;2011;;;;;;;;;;;;;
134;summer;no;Sun;no;cloudy;0.5625;0.536;0.867083;0.152979;1582;2971;4553;15;5;2011;;;;;;;;;;;;;
135;summer;no;Mon;no;clear sky;0.5775;0.550512;0.787917;0.126871;773;3185;3958;16;5;2011;;;;;;;;;;;;;
136;summer;no;Tue;no;cloudy;0.561667;0.538529;0.837917;0.277354;678;3445;4123;17;5;2011;;;;;;;;;;;;;
137;summer;no;Wed;no;cloudy;0.55;0.527158;0.87;0.201492;536;3319;3855;18;5;2011;;;;;;;;;;;;;
138;summer;no;Thu;no;cloudy;0.530833;0.510742;0.829583;0.108213;735;3840;4575;19;5;2011;;;;;;;;;;;;;
139;summer;no;Fri;no;clear sky;0.536667;0.529042;0.719583;0.125013;909;4008;4917;20;5;2011;;;;;;;;;;;;;
140;summer;no;Sat;no;clear sky;0.6025;0.571975;0.626667;0.12065;2258;3547;5805;21;5;2011;;;;;;;;;;;;;
141;summer;no;Sun;no;clear sky;0.604167;0.5745;0.749583;0.148008;1576;3084;4660;22;5;2011;;;;;;;;;;;;;
142;summer;no;Mon;no;cloudy;0.631667;0.590296;0.81;0.233842;836;3438;4274;23;5;2011;;;;;;;;;;;;;
143;summer;no;Tue;no;cloudy;0.66;0.604813;0.740833;0.207092;659;3833;4492;24;5;2011;;;;;;;;;;;;;
144;summer;no;Wed;no;clear sky;0.660833;0.615542;0.69625;0.154233;740;4238;4978;25;5;2011;;;;;;;;;;;;;
145;summer;no;Thu;no;clear sky;0.708333;0.654688;0.6775;0.199642;758;3919;4677;26;5;2011;;;;;;;;;;;;;
146;summer;no;Fri;no;clear sky;0.681667;0.637008;0.65375;0.240679;871;3808;4679;27;5;2011;;;;;;;;;;;;;
147;summer;no;Sat;no;clear sky;0.655833;0.612379;0.729583;0.230092;2001;2757;4758;28;5;2011;;;;;;;;;;;;;
148;summer;no;Sun;no;clear sky;0.6675;0.61555;0.81875;0.213938;2355;2433;4788;29;5;2011;;;;;;;;;;;;;
149;summer;yes;Mon;no;clear sky;0.733333;0.671092;0.685;0.131225;1549;2549;4098;30;5;2011;;;;;;;;;;;;;
150;summer;no;Tue;no;clear sky;0.775;0.725383;0.636667;0.111329;673;3309;3982;31;5;2011;;;;;;;;;;;;;
151;summer;no;Wed;no;cloudy;0.764167;0.720967;0.677083;0.207092;513;3461;3974;1;6;2011;;;;;;;;;;;;;
152;summer;no;Thu;no;clear sky;0.715;0.643942;0.305;0.292287;736;4232;4968;2;6;2011;;;;;;;;;;;;;
153;summer;no;Fri;no;clear sky;0.62;0.587133;0.354167;0.253121;898;4414;5312;3;6;2011;;;;;;;;;;;;;
154;summer;no;Sat;no;clear sky;0.635;0.594696;0.45625;0.123142;1869;3473;5342;4;6;2011;;;;;;;;;;;;;
155;summer;no;Sun;no;cloudy;0.648333;0.616804;0.6525;0.138692;1685;3221;4906;5;6;2011;;;;;;;;;;;;;
156;summer;no;Mon;no;clear sky;0.678333;0.621858;0.6;0.121896;673;3875;4548;6;6;2011;;;;;;;;;;;;;
157;summer;no;Tue;no;clear sky;0.7075;0.65595;0.597917;0.187808;763;4070;4833;7;6;2011;;;;;;;;;;;;;
158;summer;no;Wed;no;clear sky;0.775833;0.727279;0.622083;0.136817;676;3725;4401;8;6;2011;;;;;;;;;;;;;
159;summer;no;Thu;no;cloudy;0.808333;0.757579;0.568333;0.149883;563;3352;3915;9;6;2011;;;;;;;;;;;;;
160;summer;no;Fri;no;clear sky;0.755;0.703292;0.605;0.140554;815;3771;4586;10;6;2011;;;;;;;;;;;;;
161;summer;no;Sat;no;clear sky;0.725;0.678038;0.654583;0.15485;1729;3237;4966;11;6;2011;;;;;;;;;;;;;
162;summer;no;Sun;no;clear sky;0.6925;0.643325;0.747917;0.163567;1467;2993;4460;12;6;2011;;;;;;;;;;;;;
163;summer;no;Mon;no;clear sky;0.635;0.601654;0.494583;0.30535;863;4157;5020;13;6;2011;;;;;;;;;;;;;
164;summer;no;Tue;no;clear sky;0.604167;0.591546;0.507083;0.269283;727;4164;4891;14;6;2011;;;;;;;;;;;;;
165;summer;no;Wed;no;clear sky;0.626667;0.587754;0.471667;0.167912;769;4411;5180;15;6;2011;;;;;;;;;;;;;
166;summer;no;Thu;no;cloudy;0.628333;0.595346;0.688333;0.206471;545;3222;3767;16;6;2011;;;;;;;;;;;;;
167;summer;no;Fri;no;clear sky;0.649167;0.600383;0.735833;0.143029;863;3981;4844;17;6;2011;;;;;;;;;;;;;
168;summer;no;Sat;no;clear sky;0.696667;0.643954;0.670417;0.119408;1807;3312;5119;18;6;2011;;;;;;;;;;;;;
169;summer;no;Sun;no;cloudy;0.699167;0.645846;0.666667;0.102;1639;3105;4744;19;6;2011;;;;;;;;;;;;;
170;summer;no;Mon;no;cloudy;0.635;0.595346;0.74625;0.155475;699;3311;4010;20;6;2011;;;;;;;;;;;;;
